shape	coords	gid	sym.path.compounds.map
circle	1233 222 4	NA	C16060
rect	400 221 446 238	10392	NOD1
rect	400 333 446 350	64127	NOD2
rect	577 275 623 292	8767	RIPK2
rect	818 261 864 278	8517	IKBKG
rect	961 264 1007 281	4792	NFKBIA
rect	961 264 1007 281	4793	NFKBIB
rect	961 302 1007 319	4790	NFKB1
rect	961 302 1007 319	5970	RELA
rect	818 278 864 295	1147	CHUK
rect	818 295 864 312	3551	IKBKB
rect	685 352 731 369	6885	MAP3K7
rect	685 369 731 386	10454	TAB1
rect	685 386 731 403	23118	TAB2
rect	685 386 731 403	257397	TAB3
rect	1219 300 1265 317	3576	CXCL8
rect	1219 320 1265 337	2919	CXCL1
rect	1219 340 1265 357	2920	CXCL2
rect	1219 360 1265 377	6347	CCL2
rect	1219 380 1265 397	6352	CCL5
rect	1219 426 1265 443	7124	TNF
rect	577 312 623 329	64170	CARD9
rect	575 146 621 163	329	BIRC2
rect	575 146 621 163	330	BIRC3
rect	527 520 573 537	22861	NLRP1
rect	527 686 573 703	114548	NLRP3
rect	587 520 633 537	29108	PYCARD
rect	647 520 693 537	834	CASP1
rect	957 764 1003 781	3553	IL1B
rect	957 785 1003 802	3606	IL18
rect	493 221 539 238	7205	TRIP6
rect	779 197 825 214	841	CASP8
rect	587 552 633 569	838	CASP5
rect	587 686 633 703	29108	PYCARD
rect	587 718 633 735	22900	CARD8
rect	647 686 693 703	834	CASP1
rect	527 863 573 880	58484	NLRC4
rect	647 863 693 880	834	CASP1
rect	587 863 633 880	29108	PYCARD
rect	527 760 573 777	10910	SUGT1
rect	587 760 633 777	3320	HSP90AA1
rect	587 760 633 777	3326	HSP90AB1
rect	587 760 633 777	7184	HSP90B1
rect	400 374 446 391	55914	ERBIN
rect	400 180 446 197	10910	SUGT1
rect	1219 446 1265 463	3569	IL6
rect	647 718 693 735	834	CASP1
rect	845 417 891 434	5599	MAPK8
rect	845 417 891 434	5601	MAPK9
rect	845 417 891 434	5602	MAPK10
rect	845 397 891 414	5594	MAPK1
rect	845 397 891 414	5595	MAPK3
rect	845 437 891 454	1432	MAPK14
rect	845 437 891 454	5600	MAPK11
rect	845 437 891 454	5603	MAPK13
rect	845 437 891 454	6300	MAPK12
rect	535 184 581 201	84674	CARD6
rect	613 169 659 186	7128	TNFAIP3
rect	527 977 573 994	58484	NLRC4
rect	647 977 693 994	834	CASP1
rect	527 994 573 1011	4671	NAIP
rect	605 825 651 842	59082	CARD18
rect	550 640 596 657	260434	PYDC1
rect	625 640 671 657	4210	MEFV
rect	685 640 731 657	9051	PSTPIP1
rect	704 261 750 278	7189	TRAF6
rect	927 142 1037 176	NA	hsa04120
rect	43 302 194 327	NA	map00550
rect	46 885 161 910	NA	map02040
rect	797 355 893 389	NA	hsa04010
rect	760 145 852 170	NA	hsa04210
rect	907 924 1055 958	NA	hsa04620
rect	120 928 266 953	NA	map03070
rect	40 45 367 70	NA	hsa04621
rect	853 215 963 249	NA	hsa04064
