gene1	gene2
AMPH	SYNJ1
SH3GL1	SYNJ1
AMPH	DNM1
SH3GL1	DNM1
DNM2	SH3GL1
AMPH	DNM2
DNM3	AMPH
DNM3	SH3GL1
FHL3	FHL2
MCM7	FHL2
AR	FHL2
SOS1	ABI1
ABL1	WASF1
REPS2	EPN1
DTNA	UTRN
DRP2	DTNA
DMD	DTNA
UTRN	DAG1
PIK3R1	ARAF
P4HB	COL10A1
CALR	PDIA3
ERO1A	P4HB
CDK9	CCNT1
SUB1	CSNK2A1
BRCA1	KPNA1
PABPC1	PCBP1
PCBP2	PABPC1
FHL2	PSEN2
WWTR1	SLC9A3R2
RUNX1	WWTR1
YWHAZ	WWTR1
HERC3	UBC
MRAS	AFDN
JAK2	BRCA1
JAK1	BRCA1
RAG1	KPNA1
MAP3K1	YWHAE
MAP3K2	YWHAE
YWHAB	IGF1R
YWHAZ	IGF1R
ITSN1	EPS15
NUMB	EPS15
AGFG1	EPS15
RBBP8	RBL2
RBBP8	CTBP1
FLNB	PSEN2
FLNB	PSEN1
PSEN1	FLNA
FLNA	PSEN2
PSEN2	BCL2L1
BCL2L1	PSEN1
PSEN2	SRI
PSEN2	UBQLN1
PSEN1	UBQLN1
SKP1	BTRC
PABPC1	EIF4G1
EIF4G3	PABPC1
CTBP1	TGIF1
CIB1	PSEN2
PKP4	PSEN1
PPP1R8	CDC5L
MKI67	KIF15
BRCA1	ESR1
ITPR2	TRPC4
APEX1	HSPA1A
NCK2	DOCK1
FHL2	ITGB1
REV1	FHL2
ITGA7	FHL2
ITGA3	FHL2
ROS1	PTPN6
YWHAE	HDAC5
PKN3	PLD1
DTNB	DMD
CTBP1	ZEB1
EIF4E	EIF4EBP1
EIF4EBP2	EIF4E
SYNJ1	SORBS2
SH3GL2	SYNJ1
RB1	PPP1CA
OPTN	HTT
TBR1	CASK
CASK	RPH3A
CASP7	XIAP
CASP3	XIAP
PPP1R12A	DMPK
TP53	HTT
CREBBP	HTT
TP53	CREBBP
SIN3A	TP53
HTT	SIN3A
SORT1	GGA2
DIABLO	BIRC2
DIABLO	BIRC3
LYN	PTK2
ACTN2	KCNA4
KCNA5	ACTN2
HIF1A	PSMA7
TNFAIP3	IKBKG
TNFAIP3	TNIP1
TNFAIP3	TNIP2
TAX1BP1	TNFAIP3
TRAF6	MAP3K7
TRAF6	TAB1
MAP3K7	MAP3K14
CHUK	MAP3K14
CHUK	MAP3K7
MAP3K7	ELP1
YWHAB	SLC9A1
YWHAZ	SLC9A1
YWHAB	ITGB1
KAT5	AR
APAF1	HSPA1A
APAF1	CASP9
SHC1	LYN
KHDRBS1	FYN
KHDRBS1	LYN
SHC1	FYN
AP2M1	RALBP1
NCF2	NCF4
CDK3	CDKN3
CDKN3	CDK2
CDK1	CDKN3
GEMIN2	SMN1
SNRPB	SMN1
SNRPG	SMN1
SNRPA	SMN1
GAR1	SMN1
SMN1	FBL
SMN1	HNRNPU
CASP3	CASP9
NOD1	CASP9
NOD1	RIPK2
GEMIN4	DDX20
SNRPB	GEMIN4
SYNM	DTNA
AVEN	APAF1
PAIP1	PABPC1
EIF3A	EIF4B
EIF4G1	HSPB1
MKNK1	EIF4E
EIF4G1	MKNK1
IGF1R	CSK
YWHAZ	RAF1
