gene1	gene2
Braf	Ywhah
Braf	Hras
Map2k1	Braf
Braf	Map2k2
Adam12	Grb2
Stam2	Usp8
Usp8	Grb2
Eed	Ezh2
Itsn1	Eps15
Eps15l1	Itsn1
Itsn1	Dnm2
Itsn1	Dnm1
Grb10	Nedd4
Zic1	Gli2
Zic2	Gli2
Ros1	Ptpn6
Mknk1	Mapk11
Mknk1	Mapk3
Mapk3	Mknk2
Mknk2	Mapk11
Map3k12	Mapk8ip1
Igf2bp3	Pcbp2
Pcbp2	Flnc
Ptprc	Jak1
Ptprc	Jak2
Tank	Tbk1
Tbk1	Traf2
Mapk8	Jun
Jun	Fos
Fn1	Mag
Vav1	Hnrnpk
Mast1	Sntb2
Mast2	Sntb2
Stam	Jak3
Stam	Jak2
Igf2r	Ap1g1
Bcl2	Bid
Bcl2l11	Dynlrb2
Rtn4r	Mag
App	Mapk8ip1
Runx1	Yap1
Daxx	Fas
H3c1	Cbx1
Ptpn18	Csk
Snta1	Grb2
Sync	Des
Kif5a	Ncoa2
Ncoa2	Kif5b
Ncoa2	Kif5c
ERb	Mad2l1
Rtn4r	Rtn4
Tle5	Hmgb1
Hmgb1	Mecp2
Hmgb1	Tle1
Tp53	Hmgb1
Relb	Hmgb1
Rb1	Hmgb1
Hmgb1	Zfp36
Trim25	Sfn
Faf1	Fas
Suv39h1	Hdac3
Suv39h1	Hdac2
Suv39h1	Hdac1
Suv39h1	Rbbp7
Suv39h1	Rbbp4
Ywhaz	Mlf1
Mlf1	Dynll2
Eif3g	Mlf1
Mlf1	Cacybp
Ncl	Mlf1
Mlf1	Nrbp1
Ywhaq	Bad
App	Apbb1
App	Apbb2
App	Apbb3
Dab1	App
App	Apba2
App	Numb
Nbl1	App
Ywhaz	Rrad
Rem1	Ywhaz
Rem2	Ywhaz
Fxr1	Fmr1
Abl1	Sh3bp2
Sh3bp1	Abl1
Ndel1	Ywhae
Ndel1	Pafah1b1
Ndel1	Ywhab
Ndel1	Ywhag
Ndel1	Ywhaq
Ndel1	Ywhaz
Gan	Map1b
Omp	Bex1
Omp	Bex2
Lck	Cd4
Lck	Cd8a
Lck	Sh2d2a
Ptprcap	Ptprc
Ptprcap	Cd8a
Ptprcap	Cd4
Ptprcap	Lck
Ptprc	Lck
Ptprc	Rasa1
Ptprc	Vav1
Ptprc	Sos1
Ptprc	Grb2
Arhgef28	Ywhah
Arhgef28	Ywhae
Arhgef28	Ywhaz
Trps1	Rnf4
Dysf	Anxa2
Dysf	Anxa1
Stxbp5	Stx4
Stxbp5	Snap23
Tom1	Tollip
Erbin	Smad3
Erbin	Smad2
Smad1	F2rl2
Erbin	Smad1
Dvl1	Smad1
F2rl2	Smad2
Dvl1	Smad2
F2rl2	Smad4
Erbin	Smad4
Dvl1	Smad7
Dvl1	Smad4
F2rl2	Smad7
Erbin	Smad7
Chuk	Crebbp
Bcar1	Ptk2
Nphp1	Bcar1
Dapk3	Daxx
Dapk3	Atf4
Pawr	Dapk3
Gria2	Pick1
Pacsin3	Adam15
Adam9	Pacsin3
Adam9	Sh3gl2
Sh3gl2	Adam15
Hsp90b1	Fancc
Arnt	Ahr
Arnt	Sim1
Arnt	Sim2
Hsp90aa1	Sim1
Hsp90aa1	Ahr
App	Shc3
Ly86	Cd180
Erg	Setdb1
Il2	Il2rg
Il2rg	Il4
Vcp	Ube4b
Abcd3	Abcd2
Hand1	Tcf3
Hand1	Hand2
Tcf3	Hand2
Hand1	Hey2
Hand1	Heyl
Hey2	Hand2
Hand2	Hey1
Hand2	Heyl
Pdcd6ip	Sh3gl2
Sh3gl1	Pdcd6ip
Cdc42	Prkci
Cdc42	Pard6b
Fth1	Ftl1
Trip13	Mad2l1bp
Krt13	Krt7
Krt17	Krt7
Krt27	Krt7
H2-Eb1	Dpm2
Pcbp1	0610012G03Rik
Pcbp1	Gnb2
Tpm2	Tsen34
Cldn11	Tspan4
Tfg	Rnf135
Fam241b	Camlg
Gstcd	Ufc1
Lsm5	Lsm7
Pdcd6	Slc41a3
Tcf4	Id2
Tcf3	Id2
Tfg	Mcrip2
Lce1g	Lce1a2
Umad1	Vps28
Lce1a2	Krtap4-2
Med30	Med28
Hspb8	Bag3
Lce1g	Krtap4-2
Pdcd6	Igfals
Pts	Fndc5
Igdcc3	Ftl1
Cct7	Znrd2
Tcf4	Neurod1
H3-3a	Ss18
Sycp3	Pabpc2
Lcp1	Cnn3
Rab25	Med31
Borcs6	Knstrn
Tfg	Tssk2
Rangrf	Rasl2-9
Taf11	Taf13
Poc5	Gtf2e2
Tcf4	Id3
Id3	Runx1t1
Sumo1	Pex2
Fam241b	Slc39a11
Fam241b	Ms4a10
Fam241b	Nipa2
Tcf3	Id1
Runx1t1	Id1
Tcf4	Id1
Pdcd6	Rnf115
Reep3	Arl6ip5
Tfg	Fau
Znrd2	Rnf115
Fam241b	Arl6ip5
Scp2	Tfg
Pcbp1	Txnrd2
Tfg	Pik3r1
Pts	Pbrm1
Krt5	Krt33a
Trip13	Ntrk2
Cir1	Nxn
Trip13	Klhdc2
Mycb	Itfg1
Trip13	Slc52a3
Tcf3	Phlda1
Plscr2	2310061N02Rik
Map3k8	Kctd20
Gnpat	Pts
Pcbp1	Fryl
Smn1	Reep5
Ftl1	Hspa8
Lgals3	Eif4g2
Tfg	Chst14
Smn1	Snrpb
Tfg	Amer2
Gemin7	Gemin6
Tfg	Ndc80
Tcf3	Tcf21
Rad51	Mnd1
Pdcd6	Timm22
Pspc1	Cep89
Borcs6	Nde1
Casp8ap2	Sumo1
Poc5	Polr2c
Ssbp2	Lhx9
Mycb	Ttc3
Trip13	Dipk1a
Pts	Bgn
Entpd2	Stx7
Znrd2	Med26
Ssbp2	Fkbp9
Fam241b	Matn1
Umad1	Ankrd24
Wnk4	Kcnj1
Dmd	Snta1
Dmd	Sntb1
Sntb2	Dmd
Dtna	Snta1
Dtna	Sntb1
Dtna	Dmd
Ctnna1	Ctnnb1
Nid1	Hspg2
Pbx1	Hoxa9
Igh-1a	Igkc
Lamc1	Nid1
H2-Ab1	H2-Aa
Dffb	Dffa
Igh-3	Igkc
H2-Q7	B2m
H2-D1	B2m
Rela	Nfkb1
B2m	H2-K1
Ighg1	Igkc
Gabpa	Gabpb1
