shape	coords	gid	sym.path.compounds.map
rect	84 232 130 249	60365	Rbm8a
rect	84 249 130 266	17149	Magoh
rect	84 249 130 266	66441	Magohb
rect	130 249 176 266	192170	Eif4a3
rect	130 249 176 266	668137	Gm8994
rect	130 232 176 249	192160	Casc3
rect	222 215 268 232	56215	Acin1
rect	222 232 268 249	19826	Rnps1
rect	176 232 222 249	100041953	Sap18b
rect	176 232 222 249	20220	Sap18
rect	184 295 230 312	51796	Srrm1
rect	80 295 126 312	170722	Nxf7
rect	80 295 126 312	245610	Nxf3
rect	80 295 126 312	53319	Nxf1
rect	80 295 126 312	83454	Nxf2
rect	176 249 222 266	18949	Pnn
rect	222 249 268 266	100043292	Gm4340
rect	222 249 268 266	21681	Alyref
rect	222 249 268 266	56009	Alyref2
rect	80 312 126 329	237082	Nxt2
rect	80 312 126 329	56488	Nxt1
rect	130 146 176 163	433702	Ncbp1
rect	84 215 130 232	67031	Upf3a
rect	84 215 130 232	68134	Upf3b
rect	132 295 178 312	53817	Ddx39b
rect	132 316 178 333	78428	Pym1
rect	596 589 642 606	19704	Upf1
rect	596 606 642 623	326622	Upf2
rect	596 623 642 640	67031	Upf3a
rect	596 623 642 640	68134	Upf3b
rect	668 589 714 606	233789	Smg1
rect	668 629 714 646	229512	Smg5
rect	668 612 714 629	226517	Smg7
rect	669 655 715 672	103677	Smg6
rect	550 598 596 615	225363	Etf1
rect	550 615 596 632	14852	Gspt1
rect	550 615 596 632	14853	Gspt2
rect	413 99 459 116	24018	Rngtt
rect	413 78 459 95	67897	Rnmt
rect	841 170 887 187	68219	Nudt21
rect	953 171 999 188	18789	Papola
rect	953 171 999 188	216578	Papolg
rect	953 171 999 188	56522	Papolb
rect	887 211 933 228	74737	Pcf11
rect	841 211 887 228	98985	Clp1
rect	887 170 933 187	269061	Cpsf7
rect	887 170 933 187	432508	Cpsf6
rect	796 280 842 297	66899	Fip1l1
rect	934 263 980 280	54451	Cpsf3
rect	888 263 934 280	51786	Cpsf2
rect	842 263 888 280	94230	Cpsf1
rect	842 280 888 297	54188	Cpsf4
rect	841 330 887 347	67337	Cstf1
rect	887 330 933 347	108062	Cstf2
rect	887 330 933 347	83410	Cstf2t
rect	933 330 979 347	228410	Cstf3
rect	889 356 935 373	68188	Sympk
rect	130 163 176 180	68092	Ncbp2
rect	590 284 636 301	382035	Pabpn1l
rect	590 284 636 301	54196	Pabpn1
rect	620 534 666 551	18458	Pabpc1
rect	620 534 666 551	18459	Pabpc2
rect	620 534 666 551	230721	Pabpc4
rect	620 534 666 551	241989	Pabpc4l
rect	620 534 666 551	381404	Pabpc1l
rect	620 534 666 551	668382	Pabpc1l2b-ps
rect	620 534 666 551	67543	Pabpc6
rect	620 534 666 551	93728	Pabpc5
rect	714 619 760 636	100039815	Gm2436
rect	714 619 760 636	100039830	Gm2446
rect	714 619 760 636	19052	Ppp2ca
rect	714 619 760 636	19053	Ppp2cb
rect	714 619 760 636	19054	Ppp2r3d
rect	714 619 760 636	21770	Ppp2r5d
rect	714 619 760 636	225849	Ppp2r5b
rect	714 619 760 636	226849	Ppp2r5a
rect	714 619 760 636	235542	Ppp2r3a
rect	714 619 760 636	26931	Ppp2r5c
rect	714 619 760 636	26932	Ppp2r5e
rect	714 619 760 636	269643	Ppp2r2c
rect	714 619 760 636	51792	Ppp2r1a
rect	714 619 760 636	52432	Ppp2r2d
rect	714 619 760 636	59032	Ppp2r3c
rect	714 619 760 636	71978	Ppp2r2a
rect	714 619 760 636	72930	Ppp2r2b
rect	714 619 760 636	73699	Ppp2r1b
rect	979 536 1025 553	18458	Pabpc1
rect	979 536 1025 553	18459	Pabpc2
rect	979 536 1025 553	230721	Pabpc4
rect	979 536 1025 553	241989	Pabpc4l
rect	979 536 1025 553	381404	Pabpc1l
rect	979 536 1025 553	668382	Pabpc1l2b-ps
rect	979 536 1025 553	67543	Pabpc6
rect	979 536 1025 553	93728	Pabpc5
rect	925 608 971 625	56422	Hbs1l
rect	925 625 971 642	105083	Pelo
rect	620 505 666 522	17690	Msi1
rect	620 505 666 522	70248	Dazap1
rect	620 505 666 522	76626	Msi2
rect	1036 263 1082 280	74320	Wdr33
rect	990 280 1036 297	77305	Wdr82
rect	990 297 1036 314	19045	Ppp1ca
rect	990 297 1036 314	19046	Ppp1cb
rect	990 297 1036 314	19047	Ppp1cc
rect	990 297 1036 314	434233	Gm5601
rect	1036 297 1082 314	68991	Ssu72
rect	528 147 620 172	NA	mmu03040
rect	40 45 290 70	NA	mmu03015
rect	347 353 439 378	NA	mmu03013
rect	666 732 758 757	NA	mmu03018
rect	666 288 758 313	NA	mmu03018
