gid	sym
100043674	Gm9840
103583	Fbxw11
106042	Prickle1
108058	Camk2d
114671	4930444G20Rik
11789	Apc
11848	Rhoa
12005	Axin1
12006	Axin2
12234	Btrc
12301	Cacybp
12322	Camk2a
12323	Camk2b
12325	Camk2g
12387	Ctnnb1
12443	Ccnd1
12444	Ccnd2
12445	Ccnd3
12622	Cer1
12914	Crebbp
12995	Csnk2a1
13000	Csnk2a2
13001	Csnk2b
13016	Ctbp1
13017	Ctbp2
13380	Dkk1
13542	Dvl1
13543	Dvl2
13544	Dvl3
14283	Fosl1
14296	Frat1
14362	Fzd1
14365	Fzd3
14366	Fzd4
14367	Fzd5
14368	Fzd6
14369	Fzd7
14370	Fzd8
14371	Fzd9
14735	Gpc4
16348	Invs
16476	Jun
16842	Lef1
16973	Lrp5
16974	Lrp6
170758	Rac3
17127	Smad3
17128	Smad4
17393	Mmp7
17869	Myc
18018	Nfatc1
18019	Nfatc2
18021	Nfatc3
18099	Nlk
18747	Prkaca
18749	Prkacb
18750	Prkca
18751	Prkcb
18752	Prkcg
18795	Plcb1
18796	Plcb2
18797	Plcb3
18798	Plcb4
19015	Ppard
19055	Ppp3ca
19056	Ppp3cb
19057	Ppp3cc
19058	Ppp3r1
19059	Ppp3r2
19164	Psen1
19353	Rac1
19354	Rac2
19878	Rock2
20317	Serpinf1
20319	Sfrp2
20377	Sfrp1
20379	Sfrp4
20437	Siah1a
20438	Siah1b
20671	Sox17
208846	Daam1
20890	Wnt8a
212398	Frat2
21372	Tbl1x
21402	Skp1a
21414	Tcf7
21415	Tcf7l1
21416	Tcf7l2
216795	Wnt9a
22059	Trp53
22408	Wnt1
22409	Wnt10a
22410	Wnt10b
22411	Wnt11
22412	Wnt9b
22413	Wnt2
22414	Wnt2b
22415	Wnt3
22416	Wnt3a
22417	Wnt4
22418	Wnt5a
22419	Wnt5b
22420	Wnt6
22421	Wnt7a
22422	Wnt7b
22423	Wnt8b
229658	Vangl1
231201	AF366264
234130	Dkk4
23805	Apc2
24117	Wif1
243548	Prickle2
26409	Map3k7
26414	Mapk10
26419	Mapk8
26420	Mapk9
26965	Cul1
27373	Csnk1e
319478	Cxxc4
328572	Ep300
408191	Gm5415
408192	Gm9839
53627	Porcn
54612	Sfrp5
56438	Rbx1
56505	Ruvbl1
56637	Gsk3b
56811	Dkk2
57265	Fzd2
67087	Ctnnbip1
67653	4930544G11Rik
67772	Chd8
68010	Bambi
72293	Nkd2
73181	Nfatc4
74499	Sost
75826	Senp2
76441	Daam2
77583	Notum
81004	Tbl1xr1
93687	Csnk1a1
93735	Wnt16
93840	Vangl2
93897	Fzd10
93960	Nkd1
