pathID	path.name
mmu01100	Metabolic pathways
mmu01200	Carbon metabolism
mmu01210	2-Oxocarboxylic acid metabolism
mmu01212	Fatty acid metabolism
mmu01230	Biosynthesis of amino acids
mmu00010	Glycolysis / Gluconeogenesis
mmu00020	Citrate cycle (TCA cycle)
mmu00030	Pentose phosphate pathway
mmu00040	Pentose and glucuronate interconversions
mmu00051	Fructose and mannose metabolism
mmu00052	Galactose metabolism
mmu00053	Ascorbate and aldarate metabolism
mmu00500	Starch and sucrose metabolism
mmu00520	Amino sugar and nucleotide sugar metabolism
mmu00620	Pyruvate metabolism
mmu00630	Glyoxylate and dicarboxylate metabolism
mmu00640	Propanoate metabolism
mmu00650	Butanoate metabolism
mmu00562	Inositol phosphate metabolism
mmu00190	Oxidative phosphorylation
mmu00910	Nitrogen metabolism
mmu00920	Sulfur metabolism
mmu00061	Fatty acid biosynthesis
mmu00062	Fatty acid elongation
mmu00071	Fatty acid degradation
mmu00072	Synthesis and degradation of ketone bodies
mmu00100	Steroid biosynthesis
mmu00120	Primary bile acid biosynthesis
mmu00140	Steroid hormone biosynthesis
mmu00561	Glycerolipid metabolism
mmu00564	Glycerophospholipid metabolism
mmu00565	Ether lipid metabolism
mmu00600	Sphingolipid metabolism
mmu00590	Arachidonic acid metabolism
mmu00591	Linoleic acid metabolism
mmu00592	alpha-Linolenic acid metabolism
mmu01040	Biosynthesis of unsaturated fatty acids
mmu00230	Purine metabolism
mmu00240	Pyrimidine metabolism
mmu00250	Alanine, aspartate and glutamate metabolism
mmu00260	Glycine, serine and threonine metabolism
mmu00270	Cysteine and methionine metabolism
mmu00280	Valine, leucine and isoleucine degradation
mmu00290	Valine, leucine and isoleucine biosynthesis
mmu00310	Lysine degradation
mmu00220	Arginine biosynthesis
mmu00330	Arginine and proline metabolism
mmu00340	Histidine metabolism
mmu00350	Tyrosine metabolism
mmu00360	Phenylalanine metabolism
mmu00380	Tryptophan metabolism
mmu00400	Phenylalanine, tyrosine and tryptophan biosynthesis
mmu00410	beta-Alanine metabolism
mmu00430	Taurine and hypotaurine metabolism
mmu00440	Phosphonate and phosphinate metabolism
mmu00450	Selenocompound metabolism
mmu00471	D-Glutamine and D-glutamate metabolism
mmu00472	D-Arginine and D-ornithine metabolism
mmu00480	Glutathione metabolism
mmu00510	N-Glycan biosynthesis
mmu00513	Various types of N-glycan biosynthesis
mmu00512	Mucin type O-glycan biosynthesis
mmu00515	Mannose type O-glycan biosynthesis
mmu00514	Other types of O-glycan biosynthesis
mmu00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate
mmu00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin
mmu00533	Glycosaminoglycan biosynthesis - keratan sulfate
mmu00531	Glycosaminoglycan degradation
mmu00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
mmu00601	Glycosphingolipid biosynthesis - lacto and neolacto series
mmu00603	Glycosphingolipid biosynthesis - globo and isoglobo series
mmu00604	Glycosphingolipid biosynthesis - ganglio series
mmu00511	Other glycan degradation
mmu00730	Thiamine metabolism
mmu00740	Riboflavin metabolism
mmu00750	Vitamin B6 metabolism
mmu00760	Nicotinate and nicotinamide metabolism
mmu00770	Pantothenate and CoA biosynthesis
mmu00780	Biotin metabolism
mmu00785	Lipoic acid metabolism
mmu00790	Folate biosynthesis
mmu00670	One carbon pool by folate
mmu00830	Retinol metabolism
mmu00860	Porphyrin and chlorophyll metabolism
mmu00130	Ubiquinone and other terpenoid-quinone biosynthesis
mmu00900	Terpenoid backbone biosynthesis
mmu00232	Caffeine metabolism
mmu00524	Neomycin, kanamycin and gentamicin biosynthesis
mmu00980	Metabolism of xenobiotics by cytochrome P450
mmu00982	Drug metabolism - cytochrome P450
mmu00983	Drug metabolism - other enzymes
mmu03020	RNA polymerase
mmu03022	Basal transcription factors
mmu03040	Spliceosome
mmu03010	Ribosome
mmu00970	Aminoacyl-tRNA biosynthesis
mmu03013	RNA transport
mmu03015	mRNA surveillance pathway
mmu03008	Ribosome biogenesis in eukaryotes
mmu03060	Protein export
mmu04141	Protein processing in endoplasmic reticulum
mmu04130	SNARE interactions in vesicular transport
mmu04120	Ubiquitin mediated proteolysis
mmu04122	Sulfur relay system
mmu03050	Proteasome
mmu03018	RNA degradation
mmu03030	DNA replication
mmu03410	Base excision repair
mmu03420	Nucleotide excision repair
mmu03430	Mismatch repair
mmu03440	Homologous recombination
mmu03450	Non-homologous end-joining
mmu03460	Fanconi anemia pathway
mmu02010	ABC transporters
mmu04014	Ras signaling pathway
mmu04015	Rap1 signaling pathway
mmu04010	MAPK signaling pathway
mmu04012	ErbB signaling pathway
mmu04310	Wnt signaling pathway
mmu04330	Notch signaling pathway
mmu04340	Hedgehog signaling pathway
mmu04350	TGF-beta signaling pathway
mmu04390	Hippo signaling pathway
mmu04392	Hippo signaling pathway - multiple species
mmu04370	VEGF signaling pathway
mmu04371	Apelin signaling pathway
mmu04630	Jak-STAT signaling pathway
mmu04064	NF-kappa B signaling pathway
mmu04668	TNF signaling pathway
mmu04066	HIF-1 signaling pathway
mmu04068	FoxO signaling pathway
mmu04020	Calcium signaling pathway
mmu04070	Phosphatidylinositol signaling system
mmu04072	Phospholipase D signaling pathway
mmu04071	Sphingolipid signaling pathway
mmu04024	cAMP signaling pathway
mmu04022	cGMP-PKG signaling pathway
mmu04151	PI3K-Akt signaling pathway
mmu04152	AMPK signaling pathway
mmu04150	mTOR signaling pathway
mmu04080	Neuroactive ligand-receptor interaction
mmu04060	Cytokine-cytokine receptor interaction
mmu04061	Viral protein interaction with cytokine and cytokine receptor
mmu04512	ECM-receptor interaction
mmu04514	Cell adhesion molecules (CAMs)
mmu04144	Endocytosis
mmu04145	Phagosome
mmu04142	Lysosome
mmu04146	Peroxisome
mmu04140	Autophagy - animal
mmu04136	Autophagy - other
mmu04137	Mitophagy - animal
mmu04110	Cell cycle
mmu04114	Oocyte meiosis
mmu04210	Apoptosis
mmu04215	Apoptosis - multiple species
mmu04216	Ferroptosis
mmu04217	Necroptosis
mmu04115	p53 signaling pathway
mmu04218	Cellular senescence
mmu04510	Focal adhesion
mmu04520	Adherens junction
mmu04530	Tight junction
mmu04540	Gap junction
mmu04550	Signaling pathways regulating pluripotency of stem cells
mmu04810	Regulation of actin cytoskeleton
mmu04640	Hematopoietic cell lineage
mmu04610	Complement and coagulation cascades
mmu04611	Platelet activation
mmu04620	Toll-like receptor signaling pathway
mmu04621	NOD-like receptor signaling pathway
mmu04622	RIG-I-like receptor signaling pathway
mmu04623	Cytosolic DNA-sensing pathway
mmu04625	C-type lectin receptor signaling pathway
mmu04650	Natural killer cell mediated cytotoxicity
mmu04612	Antigen processing and presentation
mmu04660	T cell receptor signaling pathway
mmu04658	Th1 and Th2 cell differentiation
mmu04659	Th17 cell differentiation
mmu04657	IL-17 signaling pathway
mmu04662	B cell receptor signaling pathway
mmu04664	Fc epsilon RI signaling pathway
mmu04666	Fc gamma R-mediated phagocytosis
mmu04670	Leukocyte transendothelial migration
mmu04672	Intestinal immune network for IgA production
mmu04062	Chemokine signaling pathway
mmu04911	Insulin secretion
mmu04910	Insulin signaling pathway
mmu04922	Glucagon signaling pathway
mmu04923	Regulation of lipolysis in adipocytes
mmu04920	Adipocytokine signaling pathway
mmu03320	PPAR signaling pathway
mmu04929	GnRH secretion
mmu04912	GnRH signaling pathway
mmu04913	Ovarian steroidogenesis
mmu04915	Estrogen signaling pathway
mmu04914	Progesterone-mediated oocyte maturation
mmu04917	Prolactin signaling pathway
mmu04921	Oxytocin signaling pathway
mmu04926	Relaxin signaling pathway
mmu04935	Growth hormone synthesis, secretion and action
mmu04918	Thyroid hormone synthesis
mmu04919	Thyroid hormone signaling pathway
mmu04928	Parathyroid hormone synthesis, secretion and action
mmu04916	Melanogenesis
mmu04924	Renin secretion
mmu04614	Renin-angiotensin system
mmu04925	Aldosterone synthesis and secretion
mmu04927	Cortisol synthesis and secretion
mmu04260	Cardiac muscle contraction
mmu04261	Adrenergic signaling in cardiomyocytes
mmu04270	Vascular smooth muscle contraction
mmu04970	Salivary secretion
mmu04971	Gastric acid secretion
mmu04972	Pancreatic secretion
mmu04976	Bile secretion
mmu04973	Carbohydrate digestion and absorption
