A2M PROC
A3GALT2 B3GALNT1
A4GALT B3GALNT1
A4GALT HEXA
A4GALT HEXB
AACS ACAT1
AACS ACAT2
AACS EHHADH
AACS HADH
AACS HMGCL
AACS HMGCLL1
AACS HMGCS1
AACS HMGCS2
AADAT DHTKD1
AADAT DLD
AADAT DLST
AANAT DDC
AANAT IDO1
AANAT IDO2
AANAT INMT
AANAT MAOA
AANAT MAOB
AASDHPPT COASY
AASS ALDH7A1
ABAT ALDH1B1
ABAT ALDH2
ABAT ALDH3A2
ABAT ALDH5A1
ABAT ALDH6A1
ABAT ALDH7A1
ABAT ALDH9A1
ABAT CARNS1
ABAT CNDP1
ABAT CNDP2
ABAT GAD1
ABAT GAD2
ABAT GADL1
ABAT HIBADH
ABAT UPB1
ABCA1 APOA1
ABCC8 CACNA1A
ABCC8 CACNA1B
ABCC8 CACNA1C
ABCC8 CACNA1D
ABCC8 CACNA1E
ABCC8 CACNA1G
ABCF2 CASP9
ABHD14A-ACY1 ARG1
ABHD14A-ACY1 ARG2
ABHD14A-ACY1 OTC
ABL1 CRK
ABL1 CRKL
ABL1 ENAH
ABL1 GRB2
ABL1 MYC
ABL1 RAC1
ABL1 RAC2
ABL1 RAC3
ABL1 RB1
ABL1 ROBO1
ABL1 ROBO2
ABL1 SHC1
ABL1 SHC2
ABL1 SHC3
ABL1 SHC4
ABL1 STAT5A
ABL1 STAT5B
ABL2 RAC1
ABL2 RAC2
ABL2 RAC3
ABO FUT1
ABO FUT2
ABO FUT3
ABO FUT9
ACAA1 ACADSB
ACAA1 ACOX1
ACAA1 ACOX3
ACAA1 ALDH6A1
ACAA1 EHHADH
ACAA1 HADH
ACAA1 HADHA
ACAA1 HSD17B10
ACAA1 PCCA
ACAA1 PCCB
ACAA2 ACADSB
ACAA2 ACOX1
ACAA2 ACOX3
ACAA2 ALDH6A1
ACAA2 EHHADH
ACAA2 HADH
ACAA2 HADHA
ACAA2 HSD17B10
ACAA2 MECR
ACAA2 PCCA
ACAA2 PCCB
ACACA ACSF3
ACACA DLAT
ACACA FASN
ACACA MCAT
ACACB CPT1A
ACACB CPT1B
ACACB CPT1C
ACACB DLAT
ACAD8 DBT
ACAD8 ECHS1
ACAD8 EHHADH
ACAD8 HADHA
ACADL ACAA1
ACADL ACAA2
ACADL CPT2
ACADL HADHB
ACADM ACAA1
ACADM ACAA2
ACADM ACAT1
ACADM ACAT2
ACADM CPT2
ACADM DBT
ACADM GCDH
ACADM HADHB
ACADS ACAA1
ACADS ACAA2
ACADS ACAT1
ACADS ACAT2
ACADS ACSM1
ACADS ACSM2A
ACADS ACSM2B
ACADS ACSM3
ACADS ACSM4
ACADS ACSM5
ACADS ACSM6
ACADS ECHS1
ACADS EHHADH
ACADS GCDH
ACADS HADHA
ACADS HADHB
ACADSB DBT
ACADSB ECHS1
ACADSB EHHADH
ACADSB HADHA
ACADVL ACAA1
ACADVL ACAA2
ACADVL CPT2
