1300017J02Rik Tfrc
1700009N14Rik Eef1a1
1700009N14Rik Eef1a2
1700009N14Rik Ncbp1
1700009N14Rik Ncbp2
1700009N14Rik Nmd3
1700009N14Rik Phax
1700009N14Rik Xpo1
1700009N14Rik Xpo5
1700009N14Rik Xpot
1810009J06Rik F2r
1810009J06Rik F2rl1
1810009J06Rik F2rl2
1810009J06Rik F2rl3
1810009J06Rik Pard3
2210010C04Rik F2r
2210010C04Rik F2rl1
2210010C04Rik F2rl2
2210010C04Rik F2rl3
2210010C04Rik Pard3
2610002M06Rik Chmp2a
2610002M06Rik Chmp2b
2610002M06Rik Mlkl
4930415L06Rik Crtc2
4930438A08Rik Adi1
4930438A08Rik Aoc1
4930438A08Rik Ddc
4930438A08Rik Ido1
4930438A08Rik Ido2
4930438A08Rik Maoa
4930438A08Rik Maob
4930438A08Rik Mat1a
4930438A08Rik Mat2a
4930438A08Rik Mat2b
4930438A08Rik Pah
4930438A08Rik Tdo2
4930438A08Rik Tph1
4930438A08Rik Tph2
4930444G20Rik Dvl1
4930444G20Rik Dvl2
4930444G20Rik Dvl3
4930544G11Rik Actb
4930544G11Rik Actg1
4930544G11Rik Bcar1
4930544G11Rik Cfl1
4930544G11Rik Cfl2
4930544G11Rik Daam1
4930544G11Rik Daam2
4930544G11Rik Diaph1
4930544G11Rik Diaph2
4930544G11Rik Gata4
4930544G11Rik Il2ra
4930544G11Rik Il2rb
4930544G11Rik Il2rg
4930544G11Rik Map2k6
4930544G11Rik Mapk10
4930544G11Rik Mapk8
4930544G11Rik Mapk9
4930544G11Rik Pak1
4930544G11Rik Pip5k1c
4930544G11Rik Pkn1
4930544G11Rik Pkn2
4930544G11Rik Plce1
4930544G11Rik Pld1
4930544G11Rik Pld2
4930544G11Rik Ptk2
4930544G11Rik Pxn
4930544G11Rik Rac1
4930544G11Rik Rac2
4930544G11Rik Rac3
4930544G11Rik Raf1
4930544G11Rik Rock1
4930544G11Rik Rock2
4932429P05Rik Crtc2
4933405O20Rik Idh1
4933405O20Rik Idh2
9130409I23Rik Acer1
9130409I23Rik Acer2
9130409I23Rik Acer3
9130409I23Rik Asah1
9130409I23Rik Asah2
9130409I23Rik Cerk
9130409I23Rik Cers1
9130409I23Rik Cers2
9130409I23Rik Cers3
9130409I23Rik Cers4
9130409I23Rik Cers5
9130409I23Rik Cers6
9130409I23Rik Degs1
9130409I23Rik Degs2
9130409I23Rik Enpp7
9130409I23Rik Galc
9130409I23Rik Gba
9130409I23Rik Gba2
9130409I23Rik Kdsr
9130409I23Rik Plpp1
9130409I23Rik Plpp2
9130409I23Rik Plpp3
9130409I23Rik Smpd1
9130409I23Rik Smpd2
9130409I23Rik Smpd3
9130409I23Rik Smpd4
9130409I23Rik Sphk1
9130409I23Rik Sphk2
9130409I23Rik Ugcg
9130409I23Rik Ugt8a
A2m Proc
A3galt2 B3galnt1
A4galt B3galnt1
A4galt Hexa
A4galt Hexb
AF366264 Dvl1
AF366264 Dvl2
AF366264 Dvl3
ATP6 Lhpp
ATP6 Ppa1
ATP6 Ppa2
ATP8 Lhpp
ATP8 Ppa1
ATP8 Ppa2
Aacs Acat1
Aacs Acat2
Aacs Ehhadh
Aacs Hadh
Aacs Hmgcl
Aacs Hmgcll1
Aacs Hmgcs1
Aacs Hmgcs2
Aadat Dhtkd1
Aadat Dld
Aadat Dlst
Aanat Ddc
Aanat Ido1
Aanat Ido2
Aanat Inmt
Aanat Maoa
Aanat Maob
Aasdhppt Coasy
Aass Aldh7a1
Abat Aldh1b1
Abat Aldh2
Abat Aldh3a2
Abat Aldh5a1
Abat Aldh6a1
Abat Aldh7a1
Abat Aldh9a1
Abat Carns1
Abat Cndp1
Abat Cndp2
Abat Gad1
Abat Gad2
Abat Gadl1
Abat Hibadh
Abat Upb1
Abca1 Apoa1
Abcc8 Cacna1a
Abcc8 Cacna1b
Abcc8 Cacna1c
Abcc8 Cacna1d
Abcc8 Cacna1e
Abcc8 Cacna1g
Abl1 Enah
Abl1 Grb2
Abl1 Myc
Abl1 Rac1
Abl1 Rac2
Abl1 Rac3
Abl1 Rb1
Abl1 Robo1
Abl1 Robo2
Abl1 Shc1
Abl1 Shc2
Abl1 Shc3
Abl1 Shc4
Abl1 Stat5a
Abl1 Stat5b
Abl2 Rac1
Abl2 Rac2
Abl2 Rac3
Abo Fut1
Abo Fut2
Abo Fut9
Abo Sec1
Acaa1a Acadsb
Acaa1a Acox1
Acaa1a Acox3
Acaa1a Aldh6a1
Acaa1a Ehhadh
Acaa1a Hadh
Acaa1a Hadha
Acaa1a Hsd17b10
Acaa1a Pcca
Acaa1a Pccb
Acaa1b Acadsb
Acaa1b Acox1
Acaa1b Acox3
Acaa1b Aldh6a1
Acaa1b Ehhadh
Acaa1b Hadh
Acaa1b Hadha
Acaa1b Hsd17b10
Acaa1b Pcca
Acaa1b Pccb
Acaa2 Acadsb
Acaa2 Acox1
Acaa2 Acox3
Acaa2 Aldh6a1
Acaa2 Ehhadh
Acaa2 Hadh
Acaa2 Hadha
Acaa2 Hsd17b10
Acaa2 Mecr
Acaa2 Pcca
Acaa2 Pccb
Acaca Acsf3
Acaca Dlat
Acaca Fasn
Acaca Mcat
Acacb Cpt1a
Acacb Cpt1b
Acacb Cpt1c
Acacb Dlat
Acad8 Dbt
Acad8 Echs1
Acad8 Ehhadh
Acad8 Hadha
Acadl Acaa1a
Acadl Acaa1b
Acadl Acaa2
Acadl Cpt2
Acadl Hadhb
Acadm Acaa1a
Acadm Acaa1b
Acadm Acaa2
Acadm Acat1
Acadm Acat2
Acadm Cpt2
Acadm Dbt
Acadm Gcdh
Acadm Hadhb
Acads Acaa1a
Acads Acaa1b
Acads Acaa2
Acads Acat1
Acads Acat2
Acads Acsm1
Acads Acsm2
Acads Acsm3
Acads Acsm4
Acads Acsm5
Acads Echs1
Acads Ehhadh
Acads Gcdh
Acads Hadha
Acads Hadhb
Acadsb Dbt
Acadsb Echs1
Acadsb Ehhadh
Acadsb Hadha
Acadvl Acaa1a
Acadvl Acaa1b
Acadvl Acaa2
Acadvl Cpt2
Acadvl Echs1
Acadvl Ehhadh
Acadvl Hadha
Acadvl Hadhb
Acat1 Acaa1a
Acat1 Acaa1b
Acat1 Acaa2
Acat1 Acaca
Acat1 Acacb
Acat1 Acadsb
Acat1 Acox1
Acat1 Acox3
Acat1 Dlat
Acat1 Ehhadh
Acat1 Hadh
Acat1 Hadha
Acat1 Hadhb
Acat1 Hmgcl
Acat1 Hmgcll1
Acat1 Hmgcs1
Acat1 Hmgcs2
Acat1 Mlycd
Acat1 Oxct1
Acat1 Oxct2a
Acat1 Oxct2b
Acat2 Acaa1a
Acat2 Acaa1b
Acat2 Acaa2
Acat2 Acaca
Acat2 Acacb
Acat2 Acadsb
Acat2 Acox1
Acat2 Acox3
Acat2 Dlat
Acat2 Ehhadh
Acat2 Hadh
Acat2 Hadha
Acat2 Hadhb
Acat2 Hmgcl
Acat2 Hmgcll1
Acat2 Hmgcs1
Acat2 Hmgcs2
Acat2 Mlycd
Acat2 Oxct1
Acat2 Oxct2a
Acat2 Oxct2b
Ace Kng1
Ace Kng2
Ace3 Kng1
Ace3 Kng2
Acer1 Galc
Acer1 Sgms1
Acer1 Sgms2
Acer1 Sphk1
Acer1 Sphk2
Acer2 Galc
Acer2 Sgms1
Acer2 Sgms2
Acer2 Sphk1
Acer2 Sphk2
Ache Gpcpd1
Ache Phospho1
Acly Aco1
Acly Aco2
Acly Pck1
Acly Pck2
Acly Pcx
Acmsd Haao
Aco1 4933405O20Rik
Aco1 Cs
Aco1 Csl
Aco1 Idh1
Aco1 Idh2
Aco1 Idh3a
Aco1 Idh3b
Aco1 Idh3g
Aco2 4933405O20Rik
Aco2 Cs
Aco2 Csl
Aco2 Idh1
Aco2 Idh2
Aco2 Idh3a
Aco2 Idh3b
Aco2 Idh3g
Acot12 Acaca
Acot12 Acacb
Acot12 Acat1
Acot12 Acat2
Acot12 Acss1
Acot12 Acss2
Acot12 Acyp1
Acot12 Acyp2
Acot12 Aldh1b1
Acot12 Aldh2
Acot12 Aldh3a2
Acot12 Aldh7a1
Acot12 Aldh9a1
Acot12 Dlat
Acot8 Baat
Acot8 Scp2
Acox1 Acaa1a
Acox1 Acaa1b
Acox1 Acss1
Acox1 Acss2
Acox1 Acss3
Acox1 Aldh6a1
Acox1 Dbt
Acox1 Echdc1
Acox1 Pcca
Acox1 Pccb
Acox2 Hsd17b4
Acox3 Acaa1a
Acox3 Acaa1b
Acox3 Acss1
Acox3 Acss2
Acox3 Acss3
Acox3 Aldh6a1
Acox3 Dbt
Acox3 Echdc1
Acox3 Pcca
Acox3 Pccb
Acp1 Blvrb
Acp1 Ctnnb1
Acp1 Enpp1
Acp1 Enpp3
Acp1 Flad1
Acp1 Ntpcr
Acp1 Tpk1
Acp2 Blvrb
Acp2 Enpp1
Acp2 Enpp3
Acp2 Flad1
Acp5 Blvrb
Acp5 Enpp1
Acp5 Enpp3
Acp5 Flad1
