gene1	gene2	pathwayID	type
GALM	HK1	hsa00010	90
GALM	HK2	hsa00010	90
GALM	HK3	hsa00010	90
GALM	HKDC1	hsa00010	90
GALM	GCK	hsa00010	90
GALM	G6PC	hsa00010	90
GALM	G6PC2	hsa00010	90
GALM	G6PC3	hsa00010	90
GPI	GCK	hsa00010	93
GPI	HK1	hsa00010	93
GPI	HK2	hsa00010	93
GPI	HK3	hsa00010	93
GPI	HKDC1	hsa00010	93
GPI	G6PC	hsa00010	94
GPI	G6PC2	hsa00010	94
GPI	G6PC3	hsa00010	94
PGM1	G6PC	hsa00010	94
PGM1	G6PC2	hsa00010	94
PGM1	G6PC3	hsa00010	94
PGM2	G6PC	hsa00010	94
PGM2	G6PC2	hsa00010	94
PGM2	G6PC3	hsa00010	94
GPI	PGM1	hsa00010	94
GPI	PGM2	hsa00010	94
PGM1	HK1	hsa00010	94
PGM1	HK2	hsa00010	94
PGM1	HK3	hsa00010	94
PGM1	HKDC1	hsa00010	94
PGM2	HK1	hsa00010	94
PGM2	HK2	hsa00010	94
PGM2	HK3	hsa00010	94
PGM2	HKDC1	hsa00010	94
PGM1	GCK	hsa00010	94
PGM2	GCK	hsa00010	94
FBP1	GPI	hsa00010	95
FBP2	GPI	hsa00010	95
PFKL	GPI	hsa00010	95
PFKM	GPI	hsa00010	95
PFKP	GPI	hsa00010	95
ALDOA	FBP1	hsa00010	108
ALDOA	FBP2	hsa00010	108
ALDOB	FBP1	hsa00010	108
ALDOB	FBP2	hsa00010	108
ALDOC	FBP1	hsa00010	108
ALDOC	FBP2	hsa00010	108
ALDOA	PFKL	hsa00010	108
ALDOA	PFKM	hsa00010	108
ALDOA	PFKP	hsa00010	108
ALDOB	PFKL	hsa00010	108
ALDOB	PFKM	hsa00010	108
ALDOB	PFKP	hsa00010	108
ALDOC	PFKL	hsa00010	108
ALDOC	PFKM	hsa00010	108
ALDOC	PFKP	hsa00010	108
TPI1	ALDOA	hsa00010	92
TPI1	ALDOB	hsa00010	92
TPI1	ALDOC	hsa00010	92
GAPDH	PGK1	hsa00010	98
GAPDH	PGK2	hsa00010	98
GAPDHS	PGK1	hsa00010	98
GAPDHS	PGK2	hsa00010	98
PGAM4	PGK1	hsa00010	97
PGAM4	PGK2	hsa00010	97
PGAM1	PGK1	hsa00010	97
PGAM1	PGK2	hsa00010	97
PGAM2	PGK1	hsa00010	97
PGAM2	PGK2	hsa00010	97
BPGM	PGK1	hsa00010	97
BPGM	PGK2	hsa00010	97
ENO1	PGAM4	hsa00010	89
ENO1	PGAM1	hsa00010	89
ENO1	PGAM2	hsa00010	89
ENO1	BPGM	hsa00010	89
ENO2	PGAM4	hsa00010	89
ENO2	PGAM1	hsa00010	89
ENO2	PGAM2	hsa00010	89
ENO2	BPGM	hsa00010	89
ENO3	PGAM4	hsa00010	89
ENO3	PGAM1	hsa00010	89
ENO3	PGAM2	hsa00010	89
ENO3	BPGM	hsa00010	89
ENO4	PGAM4	hsa00010	89
ENO4	PGAM1	hsa00010	89
ENO4	PGAM2	hsa00010	89
ENO4	BPGM	hsa00010	89
PDHA1	DLAT	hsa00010	106
PDHA2	DLAT	hsa00010	106
PDHB	DLAT	hsa00010	106
PDHA1	DLD	hsa00010	100
PDHA2	DLD	hsa00010	100
PDHB	DLD	hsa00010	100
DLAT	DLD	hsa00010	107
ALDH2	ADH1A	hsa00010	105
ALDH2	ADH1B	hsa00010	105
ALDH2	ADH1C	hsa00010	105
ALDH2	ADH4	hsa00010	105
ALDH2	ADH5	hsa00010	105
ALDH2	ADH6	hsa00010	105
ALDH2	ADH7	hsa00010	105
ALDH1B1	ADH1A	hsa00010	105
ALDH1B1	ADH1B	hsa00010	105
ALDH1B1	ADH1C	hsa00010	105
ALDH1B1	ADH4	hsa00010	105
ALDH1B1	ADH5	hsa00010	105
ALDH1B1	ADH6	hsa00010	105
ALDH1B1	ADH7	hsa00010	105
ALDH9A1	ADH1A	hsa00010	105
ALDH9A1	ADH1B	hsa00010	105
ALDH9A1	ADH1C	hsa00010	105
ALDH9A1	ADH4	hsa00010	105
ALDH9A1	ADH5	hsa00010	105
ALDH9A1	ADH6	hsa00010	105
ALDH9A1	ADH7	hsa00010	105
ALDH3A2	ADH1A	hsa00010	105
ALDH3A2	ADH1B	hsa00010	105
ALDH3A2	ADH1C	hsa00010	105
ALDH3A2	ADH4	hsa00010	105
ALDH3A2	ADH5	hsa00010	105
ALDH3A2	ADH6	hsa00010	105
ALDH3A2	ADH7	hsa00010	105
ALDH7A1	ADH1A	hsa00010	105
ALDH7A1	ADH1B	hsa00010	105
ALDH7A1	ADH1C	hsa00010	105
ALDH7A1	ADH4	hsa00010	105
ALDH7A1	ADH5	hsa00010	105
ALDH7A1	ADH6	hsa00010	105
ALDH7A1	ADH7	hsa00010	105
ALDH3A1	ADH1A	hsa00010	105
ALDH3A1	ADH1B	hsa00010	105
ALDH3A1	ADH1C	hsa00010	105
ALDH3A1	ADH4	hsa00010	105
ALDH3A1	ADH5	hsa00010	105
ALDH3A1	ADH6	hsa00010	105
ALDH3A1	ADH7	hsa00010	105
ALDH1A3	ADH1A	hsa00010	105
ALDH1A3	ADH1B	hsa00010	105
ALDH1A3	ADH1C	hsa00010	105
ALDH1A3	ADH4	hsa00010	105
ALDH1A3	ADH5	hsa00010	105
ALDH1A3	ADH6	hsa00010	105
ALDH1A3	ADH7	hsa00010	105
ALDH3B1	ADH1A	hsa00010	105
ALDH3B1	ADH1B	hsa00010	105
ALDH3B1	ADH1C	hsa00010	105
ALDH3B1	ADH4	hsa00010	105
ALDH3B1	ADH5	hsa00010	105
ALDH3B1	ADH6	hsa00010	105
ALDH3B1	ADH7	hsa00010	105
ALDH3B2	ADH1A	hsa00010	105
ALDH3B2	ADH1B	hsa00010	105
ALDH3B2	ADH1C	hsa00010	105
ALDH3B2	ADH4	hsa00010	105
ALDH3B2	ADH5	hsa00010	105
ALDH3B2	ADH6	hsa00010	105
ALDH3B2	ADH7	hsa00010	105
ALDH2	AKR1A1	hsa00010	105
ALDH1B1	AKR1A1	hsa00010	105
ALDH9A1	AKR1A1	hsa00010	105
ALDH3A2	AKR1A1	hsa00010	105
ALDH7A1	AKR1A1	hsa00010	105
ALDH3A1	AKR1A1	hsa00010	105
ALDH1A3	AKR1A1	hsa00010	105
ALDH3B1	AKR1A1	hsa00010	105
ALDH3B2	AKR1A1	hsa00010	105
PKLR	ENO1	hsa00010	96
PKLR	ENO2	hsa00010	96
PKLR	ENO3	hsa00010	96
PKLR	ENO4	hsa00010	96
PKM	ENO1	hsa00010	96
PKM	ENO2	hsa00010	96
PKM	ENO3	hsa00010	96
PKM	ENO4	hsa00010	96
LDHAL6A	PKLR	hsa00010	102
LDHAL6A	PKM	hsa00010	102
LDHA	PKLR	hsa00010	102
LDHA	PKM	hsa00010	102
LDHB	PKLR	hsa00010	102
LDHB	PKM	hsa00010	102
LDHC	PKLR	hsa00010	102
LDHC	PKM	hsa00010	102
LDHAL6B	PKLR	hsa00010	102
LDHAL6B	PKM	hsa00010	102
PDHA1	PKLR	hsa00010	102
PDHA1	PKM	hsa00010	102
PDHA2	PKLR	hsa00010	102
PDHA2	PKM	hsa00010	102
PDHB	PKLR	hsa00010	102
PDHB	PKM	hsa00010	102
PDHA1	LDHAL6A	hsa00010	102
PDHA1	LDHA	hsa00010	102
PDHA1	LDHB	hsa00010	102
PDHA1	LDHC	hsa00010	102
PDHA1	LDHAL6B	hsa00010	102
PDHA2	LDHAL6A	hsa00010	102
PDHA2	LDHA	hsa00010	102
PDHA2	LDHB	hsa00010	102
PDHA2	LDHC	hsa00010	102
PDHA2	LDHAL6B	hsa00010	102
PDHB	LDHAL6A	hsa00010	102
PDHB	LDHA	hsa00010	102
PDHB	LDHB	hsa00010	102
PDHB	LDHC	hsa00010	102
PDHB	LDHAL6B	hsa00010	102
GAPDH	BPGM	hsa00010	98
GAPDHS	BPGM	hsa00010	98
BPGM	PGAM4	hsa00010	97
BPGM	PGAM1	hsa00010	97
BPGM	PGAM2	hsa00010	97
BPGM	BPGM	hsa00010	97
PCK1	ENO1	hsa00010	96
PCK1	ENO2	hsa00010	96
PCK1	ENO3	hsa00010	96
PCK1	ENO4	hsa00010	96
PCK2	ENO1	hsa00010	96
PCK2	ENO2	hsa00010	96
PCK2	ENO3	hsa00010	96
PCK2	ENO4	hsa00010	96
PCK1	PKLR	hsa00010	96
PCK1	PKM	hsa00010	96
PCK2	PKLR	hsa00010	96
PCK2	PKM	hsa00010	96
TPI1	GAPDH	hsa00010	139
TPI1	GAPDHS	hsa00010	139
ALDOA	GAPDH	hsa00010	139
ALDOA	GAPDHS	hsa00010	139
ALDOB	GAPDH	hsa00010	139
ALDOB	GAPDHS	hsa00010	139
ALDOC	GAPDH	hsa00010	139
ALDOC	GAPDHS	hsa00010	139
ACSS2	ALDH2	hsa00010	45
ACSS2	ALDH1B1	hsa00010	45
ACSS2	ALDH9A1	hsa00010	45
ACSS2	ALDH3A2	hsa00010	45
ACSS2	ALDH7A1	hsa00010	45
ACSS1	ALDH2	hsa00010	45
ACSS1	ALDH1B1	hsa00010	45
ACSS1	ALDH9A1	hsa00010	45
ACSS1	ALDH3A2	hsa00010	45
ACSS1	ALDH7A1	hsa00010	45
ACSS2	ALDH3A1	hsa00010	45
ACSS2	ALDH1A3	hsa00010	45
ACSS2	ALDH3B1	hsa00010	45
ACSS2	ALDH3B2	hsa00010	45
ACSS1	ALDH3A1	hsa00010	45
ACSS1	ALDH1A3	hsa00010	45
ACSS1	ALDH3B1	hsa00010	45
ACSS1	ALDH3B2	hsa00010	45
ACSS2	DLAT	hsa00010	104
ACSS1	DLAT	hsa00010	104
ADPGK	GPI	hsa00010	93
GALM	ADPGK	hsa00010	90
ADPGK	PGM1	hsa00010	94
ADPGK	PGM2	hsa00010	94
BPGM	MINPP1	hsa00010	134
PGAM4	MINPP1	hsa00010	89
PGAM1	MINPP1	hsa00010	89
PGAM2	MINPP1	hsa00010	89
MINPP1	ENO1	hsa00010	89
MINPP1	ENO2	hsa00010	89
MINPP1	ENO3	hsa00010	89
MINPP1	ENO4	hsa00010	89
PDHA1	PC	hsa00020	61
PDHA2	PC	hsa00020	61
PDHB	PC	hsa00020	61
DLAT	CS	hsa00020	65
DLAT	ACLY	hsa00020	65
MDH1	ACLY	hsa00020	63
MDH2	ACLY	hsa00020	63
MDH1	CS	hsa00020	63
MDH2	CS	hsa00020	63
MDH1	PC	hsa00020	63
MDH2	PC	hsa00020	63
MDH1	PCK1	hsa00020	63
MDH1	PCK2	hsa00020	63
MDH2	PCK1	hsa00020	63
MDH2	PCK2	hsa00020	63
ACLY	PC	hsa00020	63
ACLY	PCK1	hsa00020	63
ACLY	PCK2	hsa00020	63
CS	PC	hsa00020	63
CS	PCK1	hsa00020	63
CS	PCK2	hsa00020	63
PC	PCK1	hsa00020	63
PC	PCK2	hsa00020	63
MDH1	FH	hsa00020	66
MDH2	FH	hsa00020	66
FH	SDHA	hsa00020	62
