gene1	gene2	pathwayID	type
Galm	Hk1	mmu00010	90
Galm	Hk2	mmu00010	90
Galm	Hk3	mmu00010	90
Galm	Hkdc1	mmu00010	90
Galm	Gck	mmu00010	90
Galm	G6pc	mmu00010	90
Galm	G6pc2	mmu00010	90
Galm	G6pc3	mmu00010	90
Gpi1	Gck	mmu00010	93
Gpi1	Hk1	mmu00010	93
Gpi1	Hk2	mmu00010	93
Gpi1	Hk3	mmu00010	93
Gpi1	Hkdc1	mmu00010	93
Gpi1	G6pc	mmu00010	94
Gpi1	G6pc2	mmu00010	94
Gpi1	G6pc3	mmu00010	94
Pgm2	G6pc	mmu00010	94
Pgm2	G6pc2	mmu00010	94
Pgm2	G6pc3	mmu00010	94
Pgm1	G6pc	mmu00010	94
Pgm1	G6pc2	mmu00010	94
Pgm1	G6pc3	mmu00010	94
Gpi1	Pgm2	mmu00010	94
Gpi1	Pgm1	mmu00010	94
Pgm2	Hk1	mmu00010	94
Pgm2	Hk2	mmu00010	94
Pgm2	Hk3	mmu00010	94
Pgm2	Hkdc1	mmu00010	94
Pgm1	Hk1	mmu00010	94
Pgm1	Hk2	mmu00010	94
Pgm1	Hk3	mmu00010	94
Pgm1	Hkdc1	mmu00010	94
Pgm2	Gck	mmu00010	94
Pgm1	Gck	mmu00010	94
Fbp2	Gpi1	mmu00010	95
Fbp1	Gpi1	mmu00010	95
Pfkl	Gpi1	mmu00010	95
Pfkm	Gpi1	mmu00010	95
Pfkp	Gpi1	mmu00010	95
Aldoa	Fbp2	mmu00010	108
Aldoa	Fbp1	mmu00010	108
Aldoc	Fbp2	mmu00010	108
Aldoc	Fbp1	mmu00010	108
Aldob	Fbp2	mmu00010	108
Aldob	Fbp1	mmu00010	108
Aldoart1	Fbp2	mmu00010	108
Aldoart1	Fbp1	mmu00010	108
Aldoa	Pfkl	mmu00010	108
Aldoa	Pfkm	mmu00010	108
Aldoa	Pfkp	mmu00010	108
Aldoc	Pfkl	mmu00010	108
Aldoc	Pfkm	mmu00010	108
Aldoc	Pfkp	mmu00010	108
Aldob	Pfkl	mmu00010	108
Aldob	Pfkm	mmu00010	108
Aldob	Pfkp	mmu00010	108
Aldoart1	Pfkl	mmu00010	108
Aldoart1	Pfkm	mmu00010	108
Aldoart1	Pfkp	mmu00010	108
Tpi1	Aldoa	mmu00010	92
Tpi1	Aldoc	mmu00010	92
Tpi1	Aldob	mmu00010	92
Tpi1	Aldoart1	mmu00010	92
Gapdh	Pgk1	mmu00010	98
Gapdh	Pgk2	mmu00010	98
Gapdhs	Pgk1	mmu00010	98
Gapdhs	Pgk2	mmu00010	98
Bpgm	Pgk1	mmu00010	97
Bpgm	Pgk2	mmu00010	97
Pgam1	Pgk1	mmu00010	97
Pgam1	Pgk2	mmu00010	97
Pgam2	Pgk1	mmu00010	97
Pgam2	Pgk2	mmu00010	97
Eno1	Bpgm	mmu00010	89
Eno1	Pgam1	mmu00010	89
Eno1	Pgam2	mmu00010	89
Eno2	Bpgm	mmu00010	89
Eno2	Pgam1	mmu00010	89
Eno2	Pgam2	mmu00010	89
Eno3	Bpgm	mmu00010	89
Eno3	Pgam1	mmu00010	89
Eno3	Pgam2	mmu00010	89
Eno4	Bpgm	mmu00010	89
Eno4	Pgam1	mmu00010	89
Eno4	Pgam2	mmu00010	89
Eno1b	Bpgm	mmu00010	89
Eno1b	Pgam1	mmu00010	89
Eno1b	Pgam2	mmu00010	89
Pdha1	Dlat	mmu00010	106
Pdha2	Dlat	mmu00010	106
Pdhb	Dlat	mmu00010	106
Pdha1	Dld	mmu00010	100
Pdha2	Dld	mmu00010	100
Pdhb	Dld	mmu00010	100
Dlat	Dld	mmu00010	107
Aldh7a1	Adh1	mmu00010	105
Aldh7a1	Adh7	mmu00010	105
Aldh7a1	Adh5	mmu00010	105
Aldh7a1	Adh4	mmu00010	105
Aldh2	Adh1	mmu00010	105
Aldh2	Adh7	mmu00010	105
Aldh2	Adh5	mmu00010	105
Aldh2	Adh4	mmu00010	105
Aldh3a2	Adh1	mmu00010	105
Aldh3a2	Adh7	mmu00010	105
Aldh3a2	Adh5	mmu00010	105
Aldh3a2	Adh4	mmu00010	105
Aldh9a1	Adh1	mmu00010	105
Aldh9a1	Adh7	mmu00010	105
Aldh9a1	Adh5	mmu00010	105
Aldh9a1	Adh4	mmu00010	105
Aldh1b1	Adh1	mmu00010	105
Aldh1b1	Adh7	mmu00010	105
Aldh1b1	Adh5	mmu00010	105
Aldh1b1	Adh4	mmu00010	105
Aldh3a1	Adh1	mmu00010	105
Aldh3a1	Adh7	mmu00010	105
Aldh3a1	Adh5	mmu00010	105
Aldh3a1	Adh4	mmu00010	105
Aldh1a3	Adh1	mmu00010	105
Aldh1a3	Adh7	mmu00010	105
Aldh1a3	Adh5	mmu00010	105
Aldh1a3	Adh4	mmu00010	105
Aldh3b2	Adh1	mmu00010	105
Aldh3b2	Adh7	mmu00010	105
Aldh3b2	Adh5	mmu00010	105
Aldh3b2	Adh4	mmu00010	105
Aldh3b1	Adh1	mmu00010	105
Aldh3b1	Adh7	mmu00010	105
Aldh3b1	Adh5	mmu00010	105
Aldh3b1	Adh4	mmu00010	105
Aldh3b3	Adh1	mmu00010	105
Aldh3b3	Adh7	mmu00010	105
Aldh3b3	Adh5	mmu00010	105
Aldh3b3	Adh4	mmu00010	105
Aldh7a1	Akr1a1	mmu00010	105
Aldh2	Akr1a1	mmu00010	105
Aldh3a2	Akr1a1	mmu00010	105
Aldh9a1	Akr1a1	mmu00010	105
Aldh1b1	Akr1a1	mmu00010	105
Aldh3a1	Akr1a1	mmu00010	105
Aldh1a3	Akr1a1	mmu00010	105
Aldh3b2	Akr1a1	mmu00010	105
Aldh3b1	Akr1a1	mmu00010	105
Aldh3b3	Akr1a1	mmu00010	105
Pkm	Eno1	mmu00010	96
Pkm	Eno2	mmu00010	96
Pkm	Eno3	mmu00010	96
Pkm	Eno4	mmu00010	96
Pkm	Eno1b	mmu00010	96
Pklr	Eno1	mmu00010	96
Pklr	Eno2	mmu00010	96
Pklr	Eno3	mmu00010	96
Pklr	Eno4	mmu00010	96
Pklr	Eno1b	mmu00010	96
Ldhal6b	Pkm	mmu00010	102
Ldhal6b	Pklr	mmu00010	102
Ldha	Pkm	mmu00010	102
Ldha	Pklr	mmu00010	102
Ldhb	Pkm	mmu00010	102
Ldhb	Pklr	mmu00010	102
Ldhc	Pkm	mmu00010	102
Ldhc	Pklr	mmu00010	102
Pdha1	Pkm	mmu00010	102
Pdha1	Pklr	mmu00010	102
Pdha2	Pkm	mmu00010	102
Pdha2	Pklr	mmu00010	102
Pdhb	Pkm	mmu00010	102
Pdhb	Pklr	mmu00010	102
Pdha1	Ldhal6b	mmu00010	102
Pdha1	Ldha	mmu00010	102
Pdha1	Ldhb	mmu00010	102
Pdha1	Ldhc	mmu00010	102
Pdha2	Ldhal6b	mmu00010	102
Pdha2	Ldha	mmu00010	102
Pdha2	Ldhb	mmu00010	102
Pdha2	Ldhc	mmu00010	102
Pdhb	Ldhal6b	mmu00010	102
Pdhb	Ldha	mmu00010	102
Pdhb	Ldhb	mmu00010	102
Pdhb	Ldhc	mmu00010	102
Gapdh	Bpgm	mmu00010	98
Gapdhs	Bpgm	mmu00010	98
Bpgm	Bpgm	mmu00010	97
Bpgm	Pgam1	mmu00010	97
Bpgm	Pgam2	mmu00010	97
Pck1	Eno1	mmu00010	96
Pck1	Eno2	mmu00010	96
Pck1	Eno3	mmu00010	96
Pck1	Eno4	mmu00010	96
Pck1	Eno1b	mmu00010	96
Pck2	Eno1	mmu00010	96
Pck2	Eno2	mmu00010	96
Pck2	Eno3	mmu00010	96
Pck2	Eno4	mmu00010	96
Pck2	Eno1b	mmu00010	96
Pck1	Pkm	mmu00010	96
Pck1	Pklr	mmu00010	96
Pck2	Pkm	mmu00010	96
Pck2	Pklr	mmu00010	96
Tpi1	Gapdh	mmu00010	139
Tpi1	Gapdhs	mmu00010	139
Aldoa	Gapdh	mmu00010	139
Aldoa	Gapdhs	mmu00010	139
Aldoc	Gapdh	mmu00010	139
Aldoc	Gapdhs	mmu00010	139
Aldob	Gapdh	mmu00010	139
Aldob	Gapdhs	mmu00010	139
Aldoart1	Gapdh	mmu00010	139
Aldoart1	Gapdhs	mmu00010	139
Acss2	Aldh7a1	mmu00010	45
Acss2	Aldh2	mmu00010	45
Acss2	Aldh3a2	mmu00010	45
Acss2	Aldh9a1	mmu00010	45
Acss2	Aldh1b1	mmu00010	45
Acss1	Aldh7a1	mmu00010	45
Acss1	Aldh2	mmu00010	45
Acss1	Aldh3a2	mmu00010	45
Acss1	Aldh9a1	mmu00010	45
Acss1	Aldh1b1	mmu00010	45
Acss2	Aldh3a1	mmu00010	45
Acss2	Aldh1a3	mmu00010	45
Acss2	Aldh3b2	mmu00010	45
Acss2	Aldh3b1	mmu00010	45
Acss2	Aldh3b3	mmu00010	45
Acss1	Aldh3a1	mmu00010	45
Acss1	Aldh1a3	mmu00010	45
Acss1	Aldh3b2	mmu00010	45
Acss1	Aldh3b1	mmu00010	45
Acss1	Aldh3b3	mmu00010	45
Acss2	Dlat	mmu00010	104
Acss1	Dlat	mmu00010	104
Adpgk	Gpi1	mmu00010	93
Galm	Adpgk	mmu00010	90
Adpgk	Pgm2	mmu00010	94
Adpgk	Pgm1	mmu00010	94
Bpgm	Minpp1	mmu00010	134
Pgam1	Minpp1	mmu00010	89
Pgam2	Minpp1	mmu00010	89
Minpp1	Eno1	mmu00010	89
Minpp1	Eno2	mmu00010	89
Minpp1	Eno3	mmu00010	89
Minpp1	Eno4	mmu00010	89
Minpp1	Eno1b	mmu00010	89
Pdha1	Pcx	mmu00020	56
Pdha2	Pcx	mmu00020	56
Pdhb	Pcx	mmu00020	56
Dlat	Cs	mmu00020	60
Dlat	Csl	mmu00020	60
Dlat	Acly	mmu00020	60
Mdh2	Acly	mmu00020	58
Mdh1	Acly	mmu00020	58
Mdh2	Cs	mmu00020	58
Mdh2	Csl	mmu00020	58
Mdh1	Cs	mmu00020	58
Mdh1	Csl	mmu00020	58
Mdh2	Pcx	mmu00020	58
Mdh1	Pcx	mmu00020	58
Mdh2	Pck1	mmu00020	58
Mdh2	Pck2	mmu00020	58
Mdh1	Pck1	mmu00020	58
Mdh1	Pck2	mmu00020	58
Acly	Pcx	mmu00020	58
Acly	Pck1	mmu00020	58
Acly	Pck2	mmu00020	58
Cs	Pcx	mmu00020	58
Csl	Pcx	mmu00020	58
Cs	Pck1	mmu00020	58
Cs	Pck2	mmu00020	58
Csl	Pck1	mmu00020	58
Csl	Pck2	mmu00020	58
Pcx	Pck1	mmu00020	58
Pcx	Pck2	mmu00020	58
Mdh2	Fh1	mmu00020	61
Mdh1	Fh1	mmu00020	61
Fh1	Sdhc	mmu00020	57
Fh1	Sdhd	mmu00020	57
Fh1	Sdha	mmu00020	57
Fh1	Sdhb	mmu00020	57
Sdhc	Sucla2	mmu00020	64
Sdhc	Suclg2	mmu00020	64
Sdhc	Suclg1	mmu00020	64
Sdhd	Sucla2	mmu00020	64
Sdhd	Suclg2	mmu00020	64
Sdhd	Suclg1	mmu00020	64
Sdha	Sucla2	mmu00020	64
Sdha	Suclg2	mmu00020	64
Sdha	Suclg1	mmu00020	64
Sdhb	Sucla2	mmu00020	64
Sdhb	Suclg2	mmu00020	64
Sdhb	Suclg1	mmu00020	64
Sucla2	Dlst	mmu00020	70
Suclg2	Dlst	mmu00020	70
Suclg1	Dlst	mmu00020	70
Dlst	Ogdh	mmu00020	68
Dlst	Ogdhl	mmu00020	68
Dlst	Dld	mmu00020	69
Dld	Ogdh	mmu00020	66
Dld	Ogdhl	mmu00020	66
Ogdh	Idh3g	mmu00020	71
Ogdh	Idh3b	mmu00020	71
Ogdh	4933405O20Rik	mmu00020	71
