gid	sym
102723532	LOC102723532
105369274	LOC105369274
105379595	LOC105379595
10798	OR5I1
109	ADCY3
119678	OR52E2
119679	OR52J3
119682	OR51L1
119687	OR51A7
119692	OR51S1
119694	OR51F2
119695	OR52R1
119749	OR4C46
119764	OR4X2
119765	OR4B1
119772	OR52M1
119774	OR52K2
120065	OR5P2
120066	OR5P3
120586	OR8I2
120775	OR2D3
120776	OR2D2
120787	OR52W1
120793	OR56A4
120796	OR56A1
121129	OR2AP1
121130	OR10P1
121275	OR10AD1
121364	OR10A7
122740	OR4K14
122742	OR4L1
122748	OR11H6
123041	SLC24A4
124538	OR4D2
1258	CNGB1
125958	OR7D4
125962	OR7G1
125963	OR1M1
1260	CNGA2
1261	CNGA3
1262	CNGA4
126370	OR1I1
126541	OR10H4
127059	OR2M5
127062	OR2M3
127064	OR2T12
127066	OR14C36
127068	OR2T34
127069	OR2T10
127074	OR2T4
127077	OR2T11
127385	OR10J5
127623	OR2B11
128360	OR10T2
128366	OR6P1
128367	OR10X1
128368	OR10Z1
128371	OR6K6
128372	OR6N1
130075	OR9A4
134083	OR2Y1
135924	OR9A2
135941	OR2A14
135946	OR6B1
135948	OR2F2
138799	OR13C5
138802	OR13C8
138803	OR13C3
138804	OR13C4
138805	OR13F1
138881	OR1L8
138882	OR1N2
138883	OR1N1
143496	OR52B4
143502	OR52I2
143503	OR51E1
144124	OR10A5
144125	OR2AG1
150681	OR6B3
156	GRK2
157	GRK3
158131	OR1Q1
162998	OR7D2
163688	CALML6
196335	OR56B4
219417	OR8U1
219428	OR4C16
219429	OR4C11
219431	OR4S2
219432	OR4C6
219436	OR5D14
219437	OR5L1
219438	OR5D18
219447	OR5AS1
219453	OR8K5
219464	OR5T2
219469	OR8H1
219473	OR8K3
219477	OR8J1
219479	OR5R1
219482	OR5M3
219484	OR5M8
219487	OR5M11
219493	OR5AR1
219858	OR8B12
219865	OR8G5
219869	OR10G8
219870	OR10G9
219873	OR10S1
219874	OR6T1
219875	OR4D5
219952	OR6Q1
219954	OR9I1
219956	OR9Q1
219957	OR9Q2
219958	OR1S2
219959	OR1S1
219960	OR10Q1
219965	OR5B17
219968	OR5B21
219981	OR5A2
219982	OR5A1
219983	OR4D6
219986	OR4D11
23538	OR52A1
254783	OR6C74
254786	OR6C3
254879	OR2T6
254973	OR1L4
255725	OR52B2
256144	OR4C3
256148	OR4S1
256892	OR51F1
26188	OR1C1
26189	OR1A2
26211	OR2F1
26212	OR2B6
26219	OR1J4
26245	OR2M4
26246	OR2L2
26248	OR2K2
26333	OR7A17
26338	OR5L2
26339	OR5K1
26341	OR5H1
26476	OR10J1
26492	OR8G2
26493	OR8B8
26494	OR8G1
26496	OR10A3
26529	OR12D2
26531	OR11A1
26532	OR10H3
26533	OR10G3
26534	OR10G2
26538	OR10H2
26539	OR10H1
26595	OR8B2
26648	OR7E24
26658	OR7C2
26659	OR7A5
26664	OR7C1
26682	OR4F4
26683	OR4F3
26686	OR4E2
26687	OR4E1
26689	OR4D1
26692	OR2W1
26693	OR2V1
26696	OR2T1
26707	OR2J2
26716	OR2H1
26735	OR1L3
26737	OR1L1
26740	OR1J2
2774	GNAL
2782	GNB1
2788	GNG7
282763	OR51B5
282770	OR10AG1
282775	OR5J2
283092	OR4C13
283093	OR4C12
283111	OR51V1
283159	OR8D1
283160	OR8D2
283162	OR8B4
283189	OR9G4
283297	OR10A4
283365	OR6C6
283694	OR4N4
284383	OR2Z1
284433	OR10H5
284521	OR2L13
284532	OR14A16
285659	OR2V2
286362	OR13C9
286365	OR13D1
3000	GUCY2D
338662	OR8D4
338674	OR5F1
338675	OR5AP2
338751	OR52L1
338755	OR2AG2
340980	OR52B6
341152	OR2AT4
341276	OR10A2
341416	OR6C2
341418	OR6C4
341568	OR8S1
341799	OR6S1
343169	OR6F1
343171	OR2W3
343172	OR2T8
343173	OR2T3
343406	OR10R2
343563	OR2T29
346517	OR6V1
346525	OR2A12
346528	OR2A1
347168	OR1J1
347169	OR1B1
347468	OR13H1
387748	OR56B1
389090	OR6B2
390036	OR52K1
390037	OR52I1
390038	OR51D1
390054	OR52A5
390058	OR51B6
390059	OR51M1
390061	OR51Q1
390063	OR51I1
390064	OR51I2
390066	OR52D1
390067	OR52H1
390072	OR52N4
390075	OR52N5
390077	OR52N2
390078	OR52E6
390079	OR52E8
390081	OR52E4
390083	OR56A3
390084	OR56A5
390093	OR10A6
390113	OR4X1
390142	OR5D13
390144	OR5D16
390148	OR5W2
390151	OR8H2
390152	OR8H3
390154	OR5T3
390155	OR5T1
390157	OR8K1
390162	OR5M9
390167	OR5M10
390168	OR5M1
390174	OR9G1
390181	OR5AK2
390190	OR5B2
390191	OR5B12
390195	OR5AN1
390197	OR4D10
390199	OR4D9
390201	OR10V1
390260	OR6X1
390261	OR6M1
390264	OR10G4
390265	OR10G7
390271	OR8B3
390275	OR8A1
390321	OR6C1
390323	OR6C75
390326	OR6C76
390327	OR6C70
390429	OR4N2
390431	OR4K2
390433	OR4K13
390436	OR4K17
390437	OR4N5
390439	OR11G2
390442	OR11H4
390445	OR5AU1
390538	OR4M2
390648	OR4F6
390649	OR4F15
390882	OR7G2
390883	OR7G3
390892	OR7A10
391107	OR10K2
391109	OR10K1
391112	OR6Y1
391114	OR6K3
391189	OR11L1
391190	OR2L8
391191	OR2AK2
391192	OR2L3
391194	OR2M2
391195	OR2T33
391196	OR2M7
391211	OR2G6
392138	OR2A25
392309	OR13J1
392376	OR13C2
392390	OR1L6
392391	OR5C1
392392	OR1K1
393046	OR2A5
401427	OR2A7
401665	OR51T1
401666	OR51A4
401667	OR51A2
401992	OR2T2
401993	OR2T5
401994	OR14I1
402135	OR5K2
402317	OR2A42
403239	OR2T27
403253	OR4A47
403257	OR4C45
403273	OR5H14
403274	OR5H15
403277	OR5K3
403278	OR5K4
403282	OR6C65
403284	OR6C68
408	ARRB1
409	ARRB2
440153	OR11H12
441308	OR4F21
441608	OR5B3
441639	OR9K2
441669	OR4Q3
441670	OR4M1
441911	OR10J3
441933	OR13G1
442184	OR2B3
442186	OR2J3
442191	OR14J1
442194	OR10C1
442361	OR2A2
4991	OR1D2
4992	OR1F1
4993	OR2C1
4994	OR3A1
4995	OR3A2
504189	OR8U8
504190	OR8U9
504191	OR9G9
5136	PDE1A
5137	PDE1C
5138	PDE2A
5153	PDE1B
